Accident_ID,Date,Day_of_Week,Time,City,Vehicle_Type,Road_Condition,Weather,Light_Condition,Cause,Accident_Severity
1,01-01-2023 00:00,Sunday,Night,Chennai,Bike,Snow,Rainy,Dark - Street Light,Mechanical Failure,Serious
2,01-01-2023 01:00,Thursday,Afternoon,Chennai,Auto,Snow,Storm,Daylight,Overspeed,Serious
3,01-01-2023 02:00,Friday,Evening,Delhi,Car,Dry,Rainy,Dark - No Light,Mechanical Failure,Fatal
4,01-01-2023 03:00,Sunday,Morning,Pune,Truck,Dry,Storm,Dark - No Light,Signal Jump,Minor
5,01-01-2023 04:00,Wednesday,Night,Chennai,Auto,Snow,Foggy,Daylight,Mechanical Failure,Serious
6,01-01-2023 05:00,Friday,Morning,Delhi,Bike,Damaged,Foggy,Dark - Street Light,Drunk Driving,Serious
7,01-01-2023 06:00,Friday,Afternoon,Mumbai,Bike,Wet,Storm,Dark - Street Light,Overspeed,Fatal
8,01-01-2023 07:00,Sunday,Afternoon,Bangalore,Bus,Damaged,Clear,Daylight,Drunk Driving,Fatal
9,01-01-2023 08:00,Tuesday,Afternoon,Pune,Auto,Wet,Rainy,Dark - Street Light,Signal Jump,Fatal
10,01-01-2023 09:00,Wednesday,Night,Kolkata,Bus,Damaged,Rainy,Dark - Street Light,Drunk Driving,Fatal
11,01-01-2023 10:00,Sunday,Evening,Bangalore,Car,Dry,Rainy,Dark - Street Light,Drunk Driving,Fatal
12,01-01-2023 11:00,Wednesday,Night,Pune,Cycle,Snow,Storm,Dark - No Light,Drunk Driving,Fatal
13,01-01-2023 12:00,Wednesday,Morning,Kolkata,Cycle,Snow,Foggy,Dark - No Light,Wrong Turn,Minor
14,01-01-2023 13:00,Friday,Night,Bangalore,Cycle,Dry,Rainy,Daylight,Signal Jump,Serious
15,01-01-2023 14:00,Thursday,Morning,Pune,Auto,Wet,Foggy,Dark - No Light,Drunk Driving,Minor
16,01-01-2023 15:00,Wednesday,Night,Bangalore,Cycle,Wet,Rainy,Dark - Street Light,Drunk Driving,Minor
17,01-01-2023 16:00,Saturday,Evening,Bangalore,Car,Wet,Rainy,Dark - No Light,Drunk Driving,Fatal
18,01-01-2023 17:00,Friday,Morning,Kolkata,Bus,Dry,Storm,Daylight,Overspeed,Serious
19,01-01-2023 18:00,Tuesday,Afternoon,Bangalore,Auto,Wet,Clear,Dark - No Light,Wrong Turn,Minor
20,01-01-2023 19:00,Thursday,Afternoon,Bangalore,Bus,Dry,Storm,Dark - Street Light,Overspeed,Fatal
21,01-01-2023 20:00,Saturday,Night,Kolkata,Auto,Damaged,Rainy,Dark - Street Light,Wrong Turn,Fatal
22,01-01-2023 21:00,Saturday,Afternoon,Mumbai,Bus,Damaged,Rainy,Daylight,Drunk Driving,Serious
23,01-01-2023 22:00,Tuesday,Morning,Chennai,Bike,Dry,Clear,Dark - No Light,Signal Jump,Minor
24,01-01-2023 23:00,Thursday,Afternoon,Hyderabad,Bus,Snow,Foggy,Dark - No Light,Mechanical Failure,Minor
25,02-01-2023 00:00,Friday,Evening,Delhi,Cycle,Damaged,Foggy,Dark - No Light,Mechanical Failure,Minor
26,02-01-2023 01:00,Monday,Evening,Hyderabad,Bike,Wet,Rainy,Dark - Street Light,Drunk Driving,Fatal
27,02-01-2023 02:00,Thursday,Night,Hyderabad,Bus,Dry,Foggy,Daylight,Overspeed,Serious
28,02-01-2023 03:00,Tuesday,Morning,Pune,Auto,Wet,Rainy,Dark - No Light,Signal Jump,Serious
29,02-01-2023 04:00,Saturday,Evening,Chennai,Auto,Wet,Clear,Dark - Street Light,Wrong Turn,Minor
30,02-01-2023 05:00,Friday,Evening,Pune,Auto,Snow,Clear,Dark - Street Light,Drunk Driving,Fatal
31,02-01-2023 06:00,Thursday,Morning,Chennai,Truck,Wet,Rainy,Dark - Street Light,Signal Jump,Minor
32,02-01-2023 07:00,Monday,Afternoon,Kolkata,Car,Snow,Clear,Dark - No Light,Signal Jump,Serious
33,02-01-2023 08:00,Monday,Afternoon,Kolkata,Auto,Damaged,Storm,Dark - No Light,Wrong Turn,Fatal
34,02-01-2023 09:00,Wednesday,Night,Chennai,Bike,Dry,Storm,Dark - No Light,Signal Jump,Minor
35,02-01-2023 10:00,Wednesday,Afternoon,Bangalore,Auto,Wet,Clear,Dark - No Light,Overspeed,Minor
36,02-01-2023 11:00,Sunday,Morning,Mumbai,Truck,Dry,Rainy,Dark - No Light,Overspeed,Fatal
37,02-01-2023 12:00,Tuesday,Evening,Bangalore,Cycle,Wet,Rainy,Dark - No Light,Overspeed,Serious
38,02-01-2023 13:00,Thursday,Afternoon,Mumbai,Bike,Dry,Clear,Dark - No Light,Signal Jump,Fatal
39,02-01-2023 14:00,Thursday,Night,Pune,Truck,Wet,Foggy,Dark - No Light,Overspeed,Minor
40,02-01-2023 15:00,Sunday,Afternoon,Mumbai,Cycle,Wet,Storm,Dark - No Light,Wrong Turn,Minor
41,02-01-2023 16:00,Saturday,Morning,Pune,Bike,Wet,Foggy,Dark - Street Light,Signal Jump,Minor
42,02-01-2023 17:00,Saturday,Night,Kolkata,Bus,Wet,Rainy,Dark - No Light,Mechanical Failure,Minor
43,02-01-2023 18:00,Sunday,Afternoon,Hyderabad,Car,Wet,Rainy,Daylight,Signal Jump,Serious
44,02-01-2023 19:00,Saturday,Night,Kolkata,Car,Wet,Foggy,Dark - Street Light,Wrong Turn,Serious
45,02-01-2023 20:00,Wednesday,Morning,Kolkata,Truck,Wet,Clear,Dark - No Light,Mechanical Failure,Minor
46,02-01-2023 21:00,Thursday,Evening,Hyderabad,Cycle,Wet,Foggy,Daylight,Signal Jump,Serious
47,02-01-2023 22:00,Sunday,Morning,Mumbai,Car,Wet,Foggy,Dark - No Light,Overspeed,Serious
48,02-01-2023 23:00,Thursday,Morning,Mumbai,Cycle,Dry,Storm,Daylight,Drunk Driving,Serious
49,03-01-2023 00:00,Monday,Morning,Pune,Cycle,Snow,Storm,Daylight,Drunk Driving,Minor
50,03-01-2023 01:00,Wednesday,Morning,Bangalore,Truck,Wet,Foggy,Daylight,Overspeed,Fatal
51,03-01-2023 02:00,Friday,Evening,Pune,Truck,Snow,Foggy,Daylight,Drunk Driving,Fatal
52,03-01-2023 03:00,Wednesday,Evening,Bangalore,Truck,Wet,Rainy,Dark - Street Light,Drunk Driving,Fatal
53,03-01-2023 04:00,Sunday,Night,Kolkata,Car,Wet,Storm,Dark - Street Light,Overspeed,Minor
54,03-01-2023 05:00,Friday,Afternoon,Hyderabad,Truck,Dry,Storm,Daylight,Overspeed,Serious
55,03-01-2023 06:00,Monday,Evening,Kolkata,Car,Damaged,Rainy,Dark - No Light,Signal Jump,Serious
56,03-01-2023 07:00,Sunday,Evening,Chennai,Truck,Damaged,Clear,Daylight,Signal Jump,Minor
57,03-01-2023 08:00,Tuesday,Afternoon,Mumbai,Auto,Dry,Storm,Dark - Street Light,Overspeed,Minor
58,03-01-2023 09:00,Thursday,Evening,Bangalore,Cycle,Snow,Storm,Dark - No Light,Wrong Turn,Fatal
59,03-01-2023 10:00,Monday,Morning,Pune,Truck,Damaged,Clear,Dark - Street Light,Drunk Driving,Fatal
60,03-01-2023 11:00,Thursday,Morning,Hyderabad,Bike,Dry,Storm,Dark - Street Light,Signal Jump,Minor
61,03-01-2023 12:00,Saturday,Afternoon,Bangalore,Cycle,Dry,Storm,Dark - No Light,Drunk Driving,Fatal
62,03-01-2023 13:00,Tuesday,Night,Pune,Cycle,Damaged,Clear,Daylight,Mechanical Failure,Serious
63,03-01-2023 14:00,Tuesday,Night,Mumbai,Truck,Snow,Clear,Daylight,Overspeed,Minor
64,03-01-2023 15:00,Monday,Afternoon,Kolkata,Bus,Dry,Foggy,Daylight,Wrong Turn,Minor
65,03-01-2023 16:00,Tuesday,Afternoon,Mumbai,Truck,Wet,Rainy,Daylight,Mechanical Failure,Serious
66,03-01-2023 17:00,Friday,Morning,Delhi,Cycle,Snow,Rainy,Dark - No Light,Mechanical Failure,Serious
67,03-01-2023 18:00,Tuesday,Night,Chennai,Bike,Snow,Clear,Dark - No Light,Mechanical Failure,Serious
68,03-01-2023 19:00,Thursday,Evening,Delhi,Cycle,Damaged,Clear,Dark - No Light,Overspeed,Fatal
69,03-01-2023 20:00,Thursday,Morning,Hyderabad,Bike,Damaged,Storm,Dark - Street Light,Signal Jump,Minor
70,03-01-2023 21:00,Sunday,Afternoon,Bangalore,Car,Wet,Foggy,Dark - No Light,Overspeed,Fatal
71,03-01-2023 22:00,Thursday,Night,Hyderabad,Auto,Dry,Foggy,Daylight,Signal Jump,Serious
72,03-01-2023 23:00,Sunday,Evening,Kolkata,Cycle,Damaged,Clear,Dark - Street Light,Mechanical Failure,Fatal
73,04-01-2023 00:00,Thursday,Evening,Pune,Truck,Damaged,Storm,Daylight,Mechanical Failure,Serious
74,04-01-2023 01:00,Friday,Morning,Mumbai,Car,Snow,Storm,Daylight,Wrong Turn,Fatal
75,04-01-2023 02:00,Sunday,Night,Delhi,Auto,Damaged,Rainy,Dark - No Light,Signal Jump,Fatal
76,04-01-2023 03:00,Wednesday,Night,Delhi,Truck,Damaged,Rainy,Dark - No Light,Mechanical Failure,Serious
77,04-01-2023 04:00,Saturday,Afternoon,Kolkata,Bus,Damaged,Storm,Daylight,Drunk Driving,Fatal
78,04-01-2023 05:00,Monday,Night,Delhi,Truck,Damaged,Rainy,Daylight,Wrong Turn,Minor
79,04-01-2023 06:00,Thursday,Night,Kolkata,Bike,Snow,Clear,Dark - Street Light,Overspeed,Fatal
80,04-01-2023 07:00,Tuesday,Morning,Hyderabad,Bike,Wet,Storm,Dark - No Light,Wrong Turn,Fatal
81,04-01-2023 08:00,Thursday,Night,Mumbai,Bus,Wet,Rainy,Dark - Street Light,Drunk Driving,Minor
82,04-01-2023 09:00,Tuesday,Evening,Bangalore,Car,Dry,Foggy,Dark - Street Light,Signal Jump,Serious
83,04-01-2023 10:00,Saturday,Morning,Pune,Auto,Damaged,Storm,Dark - Street Light,Overspeed,Minor
84,04-01-2023 11:00,Saturday,Morning,Bangalore,Truck,Snow,Storm,Daylight,Overspeed,Fatal
85,04-01-2023 12:00,Saturday,Afternoon,Hyderabad,Bike,Dry,Foggy,Dark - Street Light,Signal Jump,Serious
86,04-01-2023 13:00,Tuesday,Night,Pune,Car,Dry,Clear,Dark - Street Light,Wrong Turn,Fatal
87,04-01-2023 14:00,Thursday,Afternoon,Delhi,Bus,Wet,Foggy,Daylight,Mechanical Failure,Fatal
88,04-01-2023 15:00,Saturday,Evening,Chennai,Cycle,Snow,Storm,Dark - No Light,Wrong Turn,Minor
89,04-01-2023 16:00,Friday,Morning,Hyderabad,Bike,Snow,Clear,Dark - No Light,Drunk Driving,Minor
90,04-01-2023 17:00,Sunday,Morning,Hyderabad,Bus,Snow,Rainy,Dark - Street Light,Mechanical Failure,Serious
